# Time-averaged data for fix myAT
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 500
1 0.004 0 0
2 0.012 0 0
3 0.02 0 0
4 0.028 0 0
5 0.036 0 0
6 0.044 0 0
7 0.052 0 0
8 0.06 0 0
9 0.068 0 0
10 0.076 0 0
11 0.084 0 0
12 0.092 0 0
13 0.1 0 0
14 0.108 0 0
15 0.116 0 0
16 0.124 0 0
17 0.132 0 0
18 0.14 0 0
19 0.148 0 0
20 0.156 0 0
21 0.164 0 0
22 0.172 0 0
23 0.18 0 0
24 0.188 0 0
25 0.196 0 0
26 0.204 0 0
27 0.212 0 0
28 0.22 0 0
29 0.228 0 0
30 0.236 0 0
31 0.244 0 0
32 0.252 0 0
33 0.26 0 0
34 0.268 0 0
35 0.276 0 0
36 0.284 0 0
37 0.292 0 0
38 0.3 0 0
39 0.308 0 0
40 0.316 0 0
41 0.324 0 0
42 0.332 0 0
43 0.34 0 0
44 0.348 0 0
45 0.356 0 0
46 0.364 0 0
47 0.372 0 0
48 0.38 0 0
49 0.388 0 0
50 0.396 0 0
51 0.404 0 0
52 0.412 0 0
53 0.42 0 0
54 0.428 0 0
55 0.436 0 0
56 0.444 0 0
57 0.452 0 0
58 0.46 0 0
59 0.468 0 0
60 0.476 0 0
61 0.484 0 0
62 0.492 0 0
63 0.5 0 0
64 0.508 0 0
65 0.516 0 0
66 0.524 0 0
67 0.532 0 0
68 0.54 0 0
69 0.548 0 0
70 0.556 0 0
71 0.564 0 0
72 0.572 0 0
73 0.58 0 0
74 0.588 0 0
75 0.596 0 0
76 0.604 0 0
77 0.612 0 0
78 0.62 0 0
79 0.628 0 0
80 0.636 0 0
81 0.644 0 0
82 0.652 0 0
83 0.66 0 0
84 0.668 0 0
85 0.676 0 0
86 0.684 0 0
87 0.692 0 0
88 0.7 0 0
89 0.708 0 0
90 0.716 0 0
91 0.724 0 0
92 0.732 0 0
93 0.74 0 0
94 0.748 0 0
95 0.756 0 0
96 0.764 0 0
97 0.772 0 0
98 0.78 0 0
99 0.788 0 0
100 0.796 0 0
101 0.804 0 0
102 0.812 0 0
103 0.82 0 0
104 0.828 0 0
105 0.836 0 0
106 0.844 0 0
107 0.852 0 0
108 0.86 0 0
109 0.868 0 0
110 0.876 0 0
111 0.884 0 0
112 0.892 0 0
