################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   8.7085485363425530E+00   1.2816254472150652E+01   1.0891504494671819E+01   3.8284122268409670E-01
         1          2   5.0253928699823316E+00   8.0554600910784018E+00   6.5717249803609414E+00   2.9144698860182244E-01
         1          3   2.3401890485710539E+00   4.4148974151287481E+00   3.3572591483148000E+00   2.1059693483592759E-01
         1          4   3.6004976277324163E-01   1.3129686584056224E+00   7.5733785473178272E-01   9.6894475104571304E-02
         1          5   6.4338411795372306E-03   1.3665466548538760E-01   3.0945881740536720E-02   1.1878116538413487E-02
         1          6   8.1029098635356623E-08   5.7414247709297605E-04   9.9022359520812879E-06   1.6542376844751427E-05
         1          7   1.1891022731990671E-03   2.2569392150607279E-01   2.0634306769447136E-02   1.6131194122095308E-02
         1          8   4.0330947594701788E-01   3.9143801989802416E+00   1.6759954969201367E+00   4.2488488071925534E-01
         1          9   3.3055855851335463E+00   8.0578309368688217E+00   6.2976271650364284E+00   6.8557591186255196E-01
         1         10   1.8240588207462085E+00   5.4365997646906301E+00   3.2048415689625229E+00   4.8001672950869584E-01
         1         11   1.3052511873727091E+00   3.2755129863020378E+00   2.4141598490685787E+00   1.9885539212587991E-01
         1         12   3.5094450864890003E-01   8.1043709787957818E-01   5.9739102553037404E-01   5.1575441264397157E-02
         1         13   3.2945053957403405E+00   1.1355740264842302E+01   6.5973350634788224E+00   8.1292342342964463E-01
         1         14   1.0495573284021869E+01   2.7619490960376499E+01   1.8223499817784099E+01   1.6479482394400231E+00
         1         15   1.0552259340993408E+00   4.9739197386679539E+00   2.5753990804810236E+00   4.0499798134258130E-01
         1         16   8.1842468619238673E+00   2.1237670434202201E+01   1.4201563834786182E+01   1.2443420223913573E+00
         1         17   2.2045101006680998E-01   1.8765629254870657E+00   8.1287234127196339E-01   1.7814975309678707E-01
         1         18   5.4101683483458167E+00   1.3984193659596766E+01   9.4038278444848178E+00   8.1525703454756659E-01
         1         19   4.6964442511841648E-03   3.7424500874000999E-01   9.1306491844262094E-02   3.7921381677701892E-02
         1         20   1.1397444498338585E+00   3.1681952750175446E+00   1.9691116246475415E+00   2.3652053397844286E-01
         1         21   5.3429311247192210E-05   2.5261246658156800E-01   2.8984393799380948E-02   2.2348884699853622E-02
         1         22   6.6190240546476042E-02   6.3282695900343366E-01   2.0112968872051920E-01   5.7566950231450670E-02
