################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.8549875136566016E-01 a         1     0     1     1     1
  8.8940063929365165E-01 a         2     0     1     1     2
  6.1468028759895370E-02 a         3     0     1     1     3
  1.2537675312806298E+00 a         4     0     1     1     4
 -5.9735229179630245E-01 a         5     0     1     1     5
  1.7215497636738522E+00 a         6     0     2     1     1
 -1.2896804514004925E+00 a         7     0     2     1     2
 -2.3594329025525576E-01 a         8     0     2     1     3
  2.5802449294627833E-01 a         9     0     2     1     4
 -4.1320820829913564E-03 a        10     0     2     1     5
 -2.8134413534120989E-01 a        11     0     3     1     1
 -1.7498882091850174E+00 a        12     0     3     1     2
 -2.9049787962577289E-01 a        13     0     3     1     3
 -1.1899586644215454E+00 a        14     0     3     1     4
 -1.3042529296355048E+00 a        15     0     3     1     5
  3.3491282521293542E-01 a        16     0     4     1     1
 -1.2774025088138402E-01 a        17     0     4     1     2
 -6.9043225261739183E-01 a        18     0     4     1     3
  4.8144821073774935E-02 a        19     0     4     1     4
  3.1458949691928004E+00 a        20     0     4     1     5
  4.9015369019239347E-01 a        21     0     5     1     1
 -5.2626001025015423E-01 a        22     0     5     1     2
  3.1499628255137802E-02 a        23     0     5     1     3
  1.5829921570745227E+00 a        24     0     5     1     4
 -7.4096968666001384E-01 a        25     0     5     1     5
  3.6818384729402041E-02 a        26     0     6     1     1
  2.3758462193040986E-01 a        27     0     6     1     2
 -7.8084058394714151E-01 a        28     0     6     1     3
  4.4459182735942909E-01 a        29     0     6     1     4
  1.3437627737518193E-01 a        30     0     6     1     5
 -5.7722855669787243E-01 a        31     0     7     1     1
 -1.1870189673483958E-02 a        32     0     7     1     2
  1.0070012099730781E+00 a        33     0     7     1     3
 -1.2686004482665250E+00 a        34     0     7     1     4
  1.8302319541024512E-01 a        35     0     7     1     5
 -1.2433519288517851E+00 a        36     0     8     1     1
  2.8134330286483493E+00 a        37     0     8     1     2
 -1.4054097249820365E+00 a        38     0     8     1     3
  1.2782310901575636E-01 a        39     0     8     1     4
 -1.4586553187253506E+00 a        40     0     8     1     5
 -5.7221371350015116E-01 a        41     0     9     1     1
  1.1533308610754842E+00 a        42     0     9     1     2
  2.9762600638161268E-01 a        43     0     9     1     3
 -3.9180753029471543E-01 a        44     0     9     1     4
 -6.2718221117094231E-01 a        45     0     9     1     5
 -1.7502137382753760E-01 a        46     0    10     1     1
  4.4224111404878662E-02 a        47     0    10     1     2
  5.1321253761256991E-01 a        48     0    10     1     3
 -5.8154566415077302E-01 a        49     0    10     1     4
 -2.3906502409951397E-01 a        50     0    10     1     5
 -1.8929612123419173E-02 a        51     0    11     1     1
 -1.1184501826775591E-01 a        52     0    11     1     2
  4.2709228912564473E-01 a        53     0    11     1     3
 -3.1085052444681549E-01 a        54     0    11     1     4
 -1.2921327664610843E-01 a        55     0    11     1     5
 -6.4839567385884783E-02 a        56     0    12     1     1
  4.5973908399214211E-02 a        57     0    12     1     2
  6.5855990689228527E-01 a        58     0    12     1     3
 -1.2579542677502487E-01 a        59     0    12     1     4
 -2.7115636467982065E-02 a        60     0    12     1     5
 -2.5188472320453026E-01 a        61     0    13     1     1
  2.6490718704209354E-01 a        62     0    13     1     2
  8.2592590614205430E-01 a        63     0    13     1     3
 -5.1878028336704418E-01 a        64     0    13     1     4
  8.6718983968139318E-02 a        65     0    13     1     5
 -6.4753623238939018E-01 a        66     0    14     1     1
  4.3997853648255020E-01 a        67     0    14     1     2
  2.1423432198605802E-01 a        68     0    14     1     3
 -8.9327535557260848E-02 a        69     0    14     1     4
  1.1801368949205162E+00 a        70     0    14     1     5
  4.8394265130512226E-01 a        71     0    15     1     1
 -1.0061284703337514E+00 a        72     0    15     1     2
  1.4522506523942738E+00 a        73     0    15     1     3
 -3.7872804379152636E-01 a        74     0    15     1     4
 -6.1036490113038588E-01 a        75     0    15     1     5
 -2.6500694295617022E-02 a        76     0    16     1     1
 -1.3539796435414192E-01 a        77     0    16     1     2
 -1.9178640527323934E+00 a        78     0    16     1     3
 -4.0116126175239419E-01 a        79     0    16     1     4
 -1.6320670197801437E-01 a        80     0    16     1     5
  1.6958941410345763E-01 a        81     0    17     1     1
  1.4329352806617487E-01 a        82     0    17     1     2
  8.4315078735382784E-02 a        83     0    17     1     3
  4.5098715347922680E-01 a        84     0    17     1     4
 -5.5628006948359110E-01 a        85     0    17     1     5
 -2.5289019174517025E-01 a        86     0    18     1     1
  5.0887234623286104E-01 a        87     0    18     1     2
 -3.2027226542857318E-01 a        88     0    18     1     3
  4.5828701787677295E-01 a        89     0    18     1     4
  1.1653730893855032E+00 a        90     0    18     1     5
 -3.3487898297146552E-02 a        91     0    19     1     1
  8.6086307157287531E-02 a        92     0    19     1     2
  1.4797147634676641E-01 a        93     0    19     1     3
 -8.4472593774829421E-02 a        94     0    19     1     4
  1.1764882163097451E-01 a        95     0    19     1     5
  6.4334119337220705E-02 a        96     0    20     1     1
  4.5157953885343306E-02 a        97     0    20     1     2
  7.8818025499797817E-01 a        98     0    20     1     3
 -9.5455982167173326E-02 a        99     0    20     1     4
 -5.3935301566284732E-01 a       100     0    20     1     5
  1.0291253002482335E-01 a       101     0    21     1     1
 -1.3821344315327591E-01 a       102     0    21     1     2
  3.1477731211882437E-01 a       103     0    21     1     3
 -3.8665628809985822E-02 a       104     0    21     1     4
 -2.3870376210868433E-01 a       105     0    21     1     5
 -4.0021556491938448E-02 a       106     0    22     1     1
  7.4220124092019474E-02 a       107     0    22     1     2
 -1.9242825723233403E-01 a       108     0    22     1     3
  1.3400057824500416E-01 a       109     0    22     1     4
